Weight,Source,Target
12533,601483a1b22699b636f1df800b9b709466eba4e1d5ce7c2e1e20317af8bbd1f3,simpleguy.near
9628,601483a1b22699b636f1df800b9b709466eba4e1d5ce7c2e1e20317af8bbd1f3,grandalex.near
7919,simpleguy.near,7c0ae38d15ed66d2801633f5dada2089b9f8e4fc98c717f883517601eddbac8b
4943,7c0ae38d15ed66d2801633f5dada2089b9f8e4fc98c717f883517601eddbac8b,601483a1b22699b636f1df800b9b709466eba4e1d5ce7c2e1e20317af8bbd1f3
3344,grandalex.near,16b1913f18631c59ec733b3c6c2ce118ec8c0c4ccf2f884eee9b19ef53f5452f
2440,app.nearcrowd.near,lowskill.near
2156,dsra5mfh.01.near,5gkxs1jc.01.near
2153,5gkxs1jc.01.near,dsra5mfh.01.near
2085,app.nearcrowd.near,vankeloff.near
1700,16b1913f18631c59ec733b3c6c2ce118ec8c0c4ccf2f884eee9b19ef53f5452f,601483a1b22699b636f1df800b9b709466eba4e1d5ce7c2e1e20317af8bbd1f3
1248,601483a1b22699b636f1df800b9b709466eba4e1d5ce7c2e1e20317af8bbd1f3,8405e0bb3cce8d1fdc4369d4d00e28d33b1fe949f64ffb98f1b069c68879713f
1059,7747991786f445efb658b69857eadc7a57b6b475beec26ed14da8bc35bb2b5b6,a5fbaa703c682bebca0b45c06145da6d8006403a1f885a7f722ecedbadbea04f
785,d73888a2619c7761735f23c798536145dfa87f9306b5f21275eb4b1a7ba971b9,936314a91d7a9dda992e5c74955585b979efab6545d6e54e1191da03415289aa
691,app.nearcrowd.near,beget.near
656,5c33c6218d47e00ef229f60da78d0897e1ee9665312550b8afd5f9c7bc6957d2,a5fbaa703c682bebca0b45c06145da6d8006403a1f885a7f722ecedbadbea04f
654,7747991786f445efb658b69857eadc7a57b6b475beec26ed14da8bc35bb2b5b6,defb1234ae52486ea8238814a8a043ac815034f081fdb3d1b72929765a2d3078
567,5623c9fbb2f1b6b12ba775031dbf52fab977a8b466b64f153f3743069e13bb34,3f4bd270b5b2c536d8c44ebc554a5debd5d3fcc5a183d5ba9429605bfaceaa84
542,e9d2914b31a766694c8f9b7b6475f340a61527e8c729c73a962bcd301044ead3,7981ae28a8314f939c7b2d0cb4fca0cb0ea70e5c022b219425bc9c4d5723e8ce
533,7981ae28a8314f939c7b2d0cb4fca0cb0ea70e5c022b219425bc9c4d5723e8ce,1f80ebc9b7b2241958d20301a02210297d03153ff16715f5fa13daeedb04c827
528,app.nearcrowd.near,mtm.near
516,okancaptain.near,talhakahraman.near
498,d73888a2619c7761735f23c798536145dfa87f9306b5f21275eb4b1a7ba971b9,2dcbc09fba0a08dc4359b2a043d3660c9af2ce641644f9a3b7c9a2f8e1967e9a
497,264e952638a425d60e0637367a49f57c07495c4427d8475b5fa0b1760011008b,ccb91e1db61e8d7e1d4ae3e043001140132959a86ee35a548b6563a46284a6ea
475,601483a1b22699b636f1df800b9b709466eba4e1d5ce7c2e1e20317af8bbd1f3,3f4bd270b5b2c536d8c44ebc554a5debd5d3fcc5a183d5ba9429605bfaceaa84
409,601483a1b22699b636f1df800b9b709466eba4e1d5ce7c2e1e20317af8bbd1f3,db183a08f3e34cee3fb45633620ec42e091100960fe2ce62d4df414a45b0baa2
403,7747991786f445efb658b69857eadc7a57b6b475beec26ed14da8bc35bb2b5b6,nguyenchanhduong1.near
399,da3dcc4d5b06dd67accae94d8159f4f1f65b059fc5e48378cae4bb66c4daa5b8,ccb91e1db61e8d7e1d4ae3e043001140132959a86ee35a548b6563a46284a6ea
399,d73888a2619c7761735f23c798536145dfa87f9306b5f21275eb4b1a7ba971b9,da3dcc4d5b06dd67accae94d8159f4f1f65b059fc5e48378cae4bb66c4daa5b8
384,d73888a2619c7761735f23c798536145dfa87f9306b5f21275eb4b1a7ba971b9,be2564f068e4e20fba1ead26e2e12b92e91c80d5355f01e5735fc5ef653f9952
380,fef72f5a3244094d54b0ca5032768ec87c535045fb2684d6aacc15d74ae328b4,7981ae28a8314f939c7b2d0cb4fca0cb0ea70e5c022b219425bc9c4d5723e8ce
370,jreive.near,0bedd44d70fa436b70c966b99a5e4d88befd14a2bd7e801151c1f8a65a79d8af
370,423df0a6640e9467769c55a573f15b9ee999dc8970048959c72890abf5cc3a8e,trancung.near
361,marilyn69.near,f8413746a47b6405d4a78e79531f9e090d80139da962888349aad3a1812f1773
357,a5fbaa703c682bebca0b45c06145da6d8006403a1f885a7f722ecedbadbea04f,e88b2b69ea1bee8c9b4a9fa433ea5fff0640d1fc42f74b298e656dd29314264a
